Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
2MASS J22362452+4751425 b,12.5,,,230,,imaging,240,0.6,4045,member of AB Doradus moving group[2]
BD+15 2375 b,1.061,,153.22,0.576,,radial vel.,2520,1.08,4649,[3]
BD+20 594 b,0.05129,0.199,41.6855,0.241,386,transit,496,0.96,5766,Unusually high density planet[4]
CI Tauri b,"11.6+2.9
−2.7",,8.9891±0.0202,,,radial vel.,515,0.80±0.02,,Possibly other planets on same orbit[5]
EPIC 211901114 b,<5,0.9±0.5,1.6489±0.0001,0.0211±0.0003,,transit,592±20,0.46±0.02,3440±65,"2% false positive probability,[6] host star also known as CK Cancri"
GJ 725 B b,0.0038,,2.7,0.0238,,radial vel.,11.481,0.25,3441,"Unconfirmed, very weak signal[7]"
Gliese 536 b,0.01686,,8.7076,0.06661,,radial vel.,32.7,0.52,3685,[8]
Gliese 676 Ac,6.8,,7337,6.6,,radial vel.,55,0.71,,[9]
Gliese 3998 b,0.00777,,2.64977,0.029,740,radial vel.,58,0.5,3722,[10]
Gliese 3998 c,0.0197,,13.74,0.089,420,radial vel.,58,0.5,3722,[10]
HAT-P-65b,0.527,1.89,2.6054552,0.03951,1930,transit,2740,1.21,5835,[11]
HAT-P-66b,0.783,1.59,2.972086,0.04363,"1896+66
−42",transit,3020,1.25,6002,[11]
HATS-11b,0.85,1.51,3.6191613,0.04614,1637,transit,2950,1,6060,[12]
HATS-12b,2.38,1.35,3.142833,0.04795,2097,transit,3200,1.49,6408,[12]
HATS-18b,1.98,1.337,0.8378434,0.01761,2060,transit,2100,1.04,5600,[13]
HATS-19b,0.427±0.071,"1.66+0.27
−0.21",4.569673±0.000010,0.0589±0.0013,1570±110,transit,1860±30,1.303±0.083,5896±77,[14]
HATS-20b,0.273±0.035,0.776±0.055,3.7992969±0.0000079,0.04619±0.00044,1147±36,transit,1610±40,0.910±0.026,5406±49,[14]
HATS-21b,"0.332+0.040
−0.030","1.123+0.147
−0.054",3.5543973±0.0000058,0.04676±0.00038,"1284+55
−31",transit,954±10,1.080±0.026,5695±67,[14]
HATS-22b,2.74,0.953,4.7228124,0.05025,858,transit,678,0.76,4803,[15]
HATS-23b,1.47,1.86,2.1605156,0.03397,1654,transit,2440,1.12,5780,[15]
HATS-24b,2.44,1.487,1.3484954,0.02547,2067,transit,1700,1.21,6346,[15]
HATS-25b,0.613,1.26,4.2986432,0.05163,,transit,1520,0.99,5715,[16]
HATS-26b,0.65,1.75,3.3023881,0.04735,,transit,2960,1.3,6071,[16]
HATS-27b,0.53,1.5,4.637038,0.0611,,transit,2700,1.42,6438,[16]
HATS-28b,0.672,1.194,3.1810781,0.04131,,transit,1700,0.93,5498,[16]
HATS-29b,0.653,1.251,4.6058749,0.05475,,transit,1140,1.03,5670,[16]
HATS-30b,0.706,1.175,3.1743516,0.04354,,transit,1110,1.09,5943,[16]
HATS-31b,0.88,1.64,3.37796,0.0478,1823,transit,2840,1.27,6050,[17]
HATS-32b,0.92,1.249,2.8126548,0.04024,1437,transit,2740,1.1,5700,[17]
HATS-33b,1.192,1.23,2.5495551,0.03727,1429,transit,830,1.06,5659,[17]
HATS-34b,0.941,1.43,2.1061607,0.03166,1445,transit,1740,0.95,5380,[17]
HATS-35b,1.222,1.464,1.8209993,0.03199,2037,transit,1820,1.32,6300,[17]
HD 3167 b,,0.139,0.959628,,,transit,149,0.86,5261,[18]
HD 3167 c,,0.254,29.8454,,,transit,149,0.86,5261,[18]
HD 5583 b,5.78,,139.35,0.53,,radial vel.,720,1.01,4830,[3]
HD 9174 b [id],1.11,,1179,2.2,,radial vel.,257.4,1.03,5577,[19]
HD 12484 b,2.98,,58.83,0.297,,radial vel.,167,1.01,5920,[20]
HD 30177 c,7.6,,11613,9.89,,radial vel.,178.4,0.99,5580,[21]
HD 35759 b,3.76,,82.467,0.389,,radial vel.,236,1.15,6060,[20]
HD 42618 b [id],0.04531,,149.61,0.554,337,radial vel.,77,1.01,5727,[22]
HD 68402 b,3.07,,1103,2.18,,radial vel.,250,1.12,5950,[19]
HD 72892 b [id],5.45,,39.475,0.228,,radial vel.,237.4,1.02,5688,[19]
HD 86950 b,3.6,,1270,2.72,,radial vel.,550,1.66,4805,[23]
HD87646 b [fr],12.4,,13.481,0.117,,radial vel.,240,1.12,5770,Also brown dwarf in the system[24]
HD 99706 c,5.69,,1278,,,radial vel.,480,1.46,4862,[25]
HD 128356 b [id],0.89,,298.2,0.87,,radial vel.,84.9,0.65,4875,[19]
HD 131399 Ab,4,,200000,80,850,imaging,320,2.08,940,Unconfirmed. Possibly a background star.
HD 133131 Ab,1.42,,649,1.44,,radial vel.,150,0.95,5799,[26]
HD 133131 Ac,0.42,,3568,4.49,,radial vel.,150,0.95,5799,[26]
HD 133131 Bb,2.5,,5769,6.15,,radial vel.,150,0.93,5805,[26]
HD 143105 b,1.21,,2.1974,0.0379,,radial vel.,159,1.51,6380,[20]
HD 147873 b [id],5.14,,116.596,0.522,,radial vel.,342.2,1.38,5972,[19]
HD 147873 c [id],2.3,,491.54,1.36,,radial vel.,342.2,1.38,5972,[19]
HD 156279 c,"8.60+0.50
−0.55",,"4191+270
−310",,,radial vel.,119.109±0.011,0.95±0.08,5453±40,[25]
HD 164922 c,0.04059,,75.765,0.3351,400,radial vel.,72.2,0.87,5293,[22]
HD 165155 b,2.89,,434.5,1.13,,radial vel.,211.9,1.02,5426,[19]
HD 191806 b,8.52,,1606.3,2.8,,radial vel.,239.6,1.14,6010,[27]
HD 214823 b [id],19.2,,1877,3.18,,radial vel.,317.9,1.22,6215,[27]
HD 219828 c,15.1,,4791,5.96,,radial vel.,254,1.23,5891,[28]
HD 220842 b,3.18,,218.47,0.74,,radial vel.,204,1.13,5960,[20]
HD 221585 b [id],1.61,,1173,2.306,,radial vel.,174.8,1.19,5620,[27]
HD 222076 b [id],1.56,,871,1.83,,radial vel.,272,1.07,4806,[23]
HD 224538 b [id],5.97,,1189.1,2.28,,radial vel.,253.6,1.34,6097,[19]
HD 11343 b,5.5,,1560.2,2.8,,radial vel.,550,1.17,4670,Host star also known as HIP 8541[29]
HIP 41378 b,,0.259,15.5712,,,transit,378.8,1.15,6199,[30]
HIP 41378 c,,0.228,31.6978,,,transit,378.8,1.15,6199,[30]
HIP 41378 d,,0.353,156,,,transit,378.8,1.15,6199,[30]
HIP 41378 e,,0.492,131,,,transit,378.8,1.15,6199,[30]
HIP 41378 f,,0.91,324,,,transit,378.8,1.15,6199,Possible ring system[30]
HIP 65407 b,0.428,,28.125,0.177,,radial vel.,181,0.93,5460,[20]
HIP 65407 c,0.784,,67.3,0.316,,radial vel.,181,0.93,5460,[20]
HD 135760 b [ru],2.4,,822.3,2.1,,radial vel.,298.4,1.74,4850,Host star also known as HIP 74890[29]
HIP 109384 b,1.56,,499.48,1.134,,radial vel.,183,0.78,5180,[20]
HIP 109600 b,2.68,,232.08,0.706,,radial vel.,191,0.87,5530,[20]
HR 2562 b,30,1.11,,20.3,,imaging,109.7,1.3,,[31]
K2-8c,,0.215,5.06416,0.0532,631,transit,,0.78,4870,[32][33]
K2-19d,0.044,0.102,2.50856,0.0344,1252,transit,950,0.93,5430,[32][34]
K2-24b,0.062,0.52,20.88508,0.1542,709,transit,590,1.12,5743,[32][33]
K2-24c,0.082,0.723,42.36342,0.2471,560,transit,590,1.12,5743,[32][33][34]
K2-26b,,0.238,14.5665,0.0962,,transit,300,0.56,3785,[33]
K2-27b,0.09722,0.4,6.771315,0.06702,,transit,,0.87,5248,[33]
K2-29b,0.73,1.19,3.2588321,0.04217,1171,transit,600,0.94,5358,[35][33]
K2-30b,0.579,1.039,4.098503,0.04839,1185,transit,910,0.9,5425,[36][35][37][33]
K2-31b,1.774,1.06,1.25785,0.022,,transit,,0.91,5280,[33]
K2-32b,0.05191,0.458,8.99213,0.08036,,transit,,0.86,5275,[32][33]
K2-32c,0.03807,0.269,20.6602,0.1399,,transit,,0.86,5275,[32][33]
K2-32d,0.03241,0.306,31.7154,0.1862,,transit,,0.86,5275,[32][33]
K2-33b,3.7,0.45,5.424865,,,transit,470,0.56,3540,[38]
K2-34b,1.76,1.35,2.995607,0.04419,1742,transit,1230,1.28,6132,[36][39][37]
K2-35b,,0.125,2.39984,0.032,,transit,,0.76,4680,[32][33]
K2-35c,,0.186,5.60912,0.0564,,transit,,0.76,4680,[32][33]
K2-36b,,0.118,1.42266,0.023,,transit,,0.8,4924,[32][33]
K2-36c,,0.25,5.34059,0.0555,,transit,,0.8,4924,[32][33]
K2-37b,,0.144,4.44117,0.0511,,transit,,0.9,5413,[32][33]
K2-37c,,0.245,6.42904,0.0654,,transit,,0.9,5413,[32][33]
K2-37d,,0.244,14.09189,0.1103,,transit,,0.9,5413,[32][33]
K2-38b,0.03776,0.138,4.01593,0.0506,,transit,631±9,"1.03+0.04
−0.02",5731±66,"[32] Also candidate planet K2-38d in system not coplanar with two 
transiting planets[40]"
K2-38c,0.03115,0.216,10.56103,0.0964,,transit,631±9,"1.03+0.04
−0.02",5731±66,"[32][33] Also candidate planet K2-38d in system not coplanar with two 
transiting planets[40]"
K2-39b,0.12522,0.509,4.60497,0.0574,,transit,972.5,1.19,4912,[33]
K2-42b,,0.192,6.68796,0.0617,,transit,,0.7,4613,[33]
K2-43b,,0.368,3.47114,0.03784,,transit,,0.6,3939,[33]
K2-44b,,0.243,5.65688,0.0651,,transit,,1.15,5912,[33]
K2-45b,,0.599,1.7292684,0.0224,,transit,,0.5,4103,[33]
K2-46b,,0.183,19.1541,0.13821,,transit,,0.96,6256,[33]
K2-47b,,0.169,31.6372,0.1779,,transit,,0.75,5054,[33]
K2-48b,,0.2,20.5065,0.1344,,transit,,0.77,4899,[33]
K2-49b,,0.172,2.77065,0.0309,,transit,,0.51,4175,[33]
K2-50b,,0.142,8.7529,0.0705,,transit,,0.61,4326,[33]
K2-52b,,0.99,3.53482,0.0485,,transit,,1.21,6113,[33]
K2-53b,,0.223,12.2054,0.0975,,transit,,0.83,5269,[33]
K2-54b,,0.103,9.7843,0.0671,,transit,,0.42,3798,[33]
K2-55b,,0.341,2.849258,0.03486,,transit,,0.7,4456,[33]
K2-57b,,0.187,9.0063,0.0746,,transit,,0.68,4434,[33]
K2-58b,,0.239,7.05254,0.0692,,transit,,0.89,5413,[33]
K2-58c,,0.145,2.53726,0.035,,transit,,0.89,5413,[33]
K2-58d,,0.153,22.8827,0.1517,,transit,,0.89,5413,[33]
K2-59b,,0.215,20.6921,0.1354,,transit,,0.77,5055,[33]
K2-59c,,0.205,11.2954,0.0905,,transit,,0.77,5055,[33]
K2-60b,0.426,0.683,3.00265,0.045,1400,transit,,0.97,5500,[33]
K2-61b,,0.221,2.57302,0.0392,,transit,,1.21,6293,[33]
K2-62b,,0.191,6.67202,0.0636,,transit,,0.77,4880,[33]
K2-62c,,0.191,16.1966,0.1148,,transit,,0.77,4880,[33]
K2-63b,,0.287,20.257,0.1627,,transit,1710,1.4,6771,[33]
K2-64b,,0.185,6.53044,0.0619,,transit,,0.74,5312,[33]
K2-65b,,0.141,12.6475,0.1014,,transit,254.6,0.87,5213,[33]
K2-66b,,0.222,5.06965,0.06069,,transit,,1.16,5958,[33]
K2-68b,,0.141,8.05428,0.0708,,transit,,0.73,4746,[33]
K2-69b,,0.207,7.06599,0.0591,,transit,,0.55,4127,[33]
K2-70b,,0.258,13.97896,0.1112,,transit,,0.94,5622,[33]
K2-71b,,0.192,6.98541,0.0559,,transit,,0.48,4006,[33]
K2-72b,,0.067,5.57739,0.037,,transit,217,0.22,3497,[33]
K2-72c,,0.077,15.1871,0.0722,,transit,217,0.22,3497,[33] Potentially habitable exoplanet
K2-72d,,0.065,7.7599,0.0461,,transit,217,0.22,3497,[33]
K2-72e,,0.073,24.1669,0.098,,transit,217,0.22,3497,[33] Potentially habitable exoplanet
K2-73b,,0.219,7.49543,0.07619,,transit,,1.05,5922,[33]
K2-74b,,0.206,19.5666,0.1402,,transit,,0.96,6060,[33]
K2-75b,,0.238,7.8142,0.081,,transit,,1.16,5995,[33]
K2-75c,,0.247,18.311,0.1429,,transit,,1.16,5995,[33]
K2-77b,1.9,0.205,8.199796,,,transit,460,0.8,4970,[33]
K2-79b,0.0371±0.0113,0.365±0.015,10.99573,0.0987,,transit,,1.06,5926,[33][41]
K2-80b,,0.179,19.0918,0.135,,transit,,0.9,5441,[33]
K2-80c,,0.131,5.605,0.0596,,transit,,0.9,5441,[33]
K2-81b,,0.162,6.10224,0.0579,,transit,,0.7,4530,[33]
K2-83b,,0.111,2.74697,0.03014,,transit,,0.48,3910,[33]
K2-83c,,0.132,9.99767,0.07131,,transit,,0.48,3910,[33]
K2-84b,,0.215,6.4215,0.0665,,transit,,0.95,5652,[33]
K2-84c,,0.181,27.86,0.1768,,transit,,0.95,5652,[33]
K2-85b,,0.09,0.684533,0.01263,,transit,,0.57,4268,[33]
K2-86b,,0.175,8.77683,0.077,,transit,,0.79,5482,[33]
K2-87b,,0.41,9.72739,0.0876,,transit,,0.95,5406,[33]
K2-88b,,0.11,4.6122,0.0345,,transit,,0.26,3537,[33]
K2-89b,,0.055,1.096026,0.01462,,transit,,0.35,3691,[33]
K2-90b,,0.182,13.7311,0.0926,,transit,,0.56,4136,[33]
K2-90c,,0.091,2.90032,0.0328,,transit,,0.56,4136,[33]
K2-91b,,0.098,1.419549,0.0164,,transit,,0.29,3622,[33]
K2-93b,,0.228,,0.138,,transit,360,1.2,6200,[42]
K2-93c,,0.259,,0.22,,transit,360,1.2,6200,[42]
K2-95b [id],0.03458,0.31,10.13389,0.0653,,transit,560,0.36,3471,[6][43]
K2-97b [id],1.1,1.31,8.4061,,,transit,2490,1.16,4790,[44]
K2-98b [id],0.10131,0.384,10.13675,0.0943,,transit,1420,1.07,6120,[45]
K2-99b,0.97,1.06±0.01,18.249,0.159,,transit,1980,1.6,5990,[46][47]
K2-100b,,0.312,1.673916,,,transit,592,1.18,6120,[6]
K2-101b,,0.178,14.677286,,,transit,592,0.8,4819,[6]
K2-102b,,0.116,9.915615,,,transit,592,0.77,4695,[6]
K2-103b,,0.196,21.169619,,,transit,592,0.61,3880,"Host star (also known as EPIC 211822797), belongs to Beehive Cluster[48]"
K2-104b,,0.17,1.97419,,,transit,592,0.51,3660,[6]
KELT-11b,0.195±0.019,"1.3+0.18
−0.12","4.736529+0.000068
−0.000059","0.06229+0.00088
−0.00076",1712,transit,320±16,"1.438+0.061
−0.052",5370±51,[49]
KELT-12b,0.95,1.78,5.031623,0.06708,1800,transit,,1.59,6279,[50]
KELT-17b,1.31,1.525,3.0801716,0.04881,2087,transit,680,1.64,7454,[51]
KIC 7917485 b,11.8,,840,2.03,,timing,,1.63,7067,[52]
Kepler-10d,"0.019+0.005
−0.003",,102,0.414,,timing,564,0.91,5643,Unconfirmed. Also known as KOI-72.X
Kepler-20g,0.0628,,34.94,0.2055,,radial vel.,950,0.95,5495,[53]
Kepler-46d,,0.146,6.766589,0.067,,transit,2790,0.9,5309,[54]
Kepler-56d,5.61±0.38,,1002±5,2.16±0.08,,radial vel.,3060±80,1.32,4840,[55]
Kepler-80f,,0.108,0.9867873,0.0175,,transit,1160,0.73,4540,[56]
Kepler-132e,,0.105,110.2869374,,,transit,900±70,,6003,[56]
Kepler-148d,,0.774,51.84688575,,,transit,2630±50,,5272,[56]
Kepler-154d,,0.343,20.54981883,,,transit,3060±50,0.89,5690,[56]
Kepler-154e,,0.134,3.93276465,,,transit,3060±50,0.89,5690,[56]
Kepler-154f,,0.134,9.91935684,,,transit,3060±50,0.89,5690,[56]
Kepler-157d,,0.13,7.02573474,,,transit,2580±30,,5774,[56]
Kepler-166d,,0.154,1.55400393,,,transit,2000±20,,5413,[56]
Kepler-167d,,0.107,21.803855,0.1405,536,transit,1100,0.77,4890,[56]
Kepler-167e,,0.906,1071.23228,1.89,131,transit,1100,0.77,4890,[56]
Kepler-176e,,0.129,51.16579,,,transit,1740±19,,5232,[56]
Kepler-191d,,0.203,5.94504102,,,transit,1970±20,0.85,5282,[56]
Kepler-192d,,0.091,6.47027579,,,transit,2160±20,,5479,[56]
Kepler-198d,,0.136,1.31184443,,,transit,1638±14,0.93,5574,[56]
Kepler-217d,,0.118,3.88689525,,,transit,3720±50,,6171,[56]
Kepler-218d,,0.237,124.5244647,,,transit,2180±20,,5502,[56]
Kepler-245e,,0.156,3.21982106,,,transit,2870±80,0.8,5100,[56]
Kepler-255d,,0.118,1.04562266,,,transit,3530±100,0.97,5573,[56]
Kepler-271d,,0.059,5.24972541,,,transit,1334±12,,5524,[56]
Kepler-304e,,0.107,1.49914695,,,transit,1435±17,0.8,4731,[56]
Kepler-342e,,0.079,1.64422461,,,transit,2600±30,1.13,6175,[56]
Kepler-351d,,0.243,142.544247,,,transit,3640±140,0.89,5643,[56]
Kepler-398d,,0.079,6.83437001,,,transit,581.4±1.8,,4493,[56]
Kepler-401d,,0.203,184.256405,,,transit,3230±50,,6117,[56]
Kepler-403d,,0.127,13.61159129,,,transit,2800±50,,6090,[56]
Kepler-411c,,0.292,7.83442788,,,transit,503.5±1.5,0.83,4974,[56]
Kepler-436c,,0.208,16.79713874,,,transit,2020,0.73,4651,[56]
Kepler-461b,,0.23,8.31378306,,,transit,1530,0.98,5634,[56]
Kepler-462b,,0.336,84.6879808,,,transit,2390,1.59,7070,[56]
Kepler-463b,,0.272,8.98101683,,,transit,1100,0.87,5661,[56]
Kepler-464b,,0.294,7.25696522,,,transit,2130,1.21,5933,[56]
Kepler-465b,,0.263,9.94067247,,,transit,1910,1.23,6310,[56]
Kepler-466b,,0.254,51.07926307,,,transit,1420,1.04,5927,[56]
Kepler-466c,,0.112,3.70921385,,,transit,1420,1.04,5927,[56]
Kepler-467b,,0.201,24.99324193,,,transit,1490,1.05,5809,[56]
Kepler-468b,,1.19,38.47875707,,,transit,1550,0.96,5498,[56]
Kepler-470b,,1.288,24.66919569,,,transit,3230,1.4,6613,[56]
Kepler-471b,,1.335,5.01423457,,,transit,4480,1.49,6733,[56]
Kepler-472b,,0.287,4.17625551,,,transit,980,0.85,4996,[56]
Kepler-473b,,0.364,14.55731705,,,transit,2090,1.06,5816,[56]
Kepler-474b,,0.273,5.66067294,,,transit,1850,0.99,5785,[56]
Kepler-475b,,0.222,3.10550819,,,transit,910,0.86,5009,[56]
Kepler-476b,,0.275,14.00640607,,,transit,2240,1.03,5837,[56]
Kepler-477b,,0.185,11.11990653,,,transit,1200,0.87,5240,[56]
Kepler-478b,,0.242,13.2217576,,,transit,1400,0.85,5210,[56]
Kepler-479b,,0.189,12.49341307,,,transit,1210,0.86,5247,[56]
Kepler-480b,,0.248,4.9195838,,,transit,2630,1.25,6322,[56]
Kepler-481b,,0.223,10.06082567,,,transit,2330,1.01,5802,[56]
Kepler-482b,,0.211,56.35418576,,,transit,950,0.75,4871,[56]
Kepler-483b,,0.286,30.229104,,,transit,3110,1.28,6346,[56]
Kepler-484b,,0.203,10.04556931,,,transit,1230,0.96,5668,[56]
Kepler-485b,,1.286,3.2432598,,,transit,3830,1.07,5958,[56]
Kepler-486b,,0.981,30.36044667,,,transit,1400,0.79,4926,[56]
Kepler-487b,,1.019,15.3587684,,,transit,2720,0.91,5444,[56]
Kepler-487c,,0.239,38.6519976,,,transit,2720,0.91,5444,[56]
Kepler-488b,,1.409,3.12082923,,,transit,3770,1.07,5970,[56]
Kepler-489b,,0.689,17.27629612,,,transit,1240,0.82,5014,[56]
Kepler-490b,,1.039,3.26869515,,,transit,4070,1.08,6045,[56]
Kepler-491b,,0.796,4.22538451,,,transit,2140,1.04,5582,[56]
Kepler-492b,,0.856,11.72012266,,,transit,2090,0.94,5527,[56]
Kepler-493b,,1.35,3.00387658,,,transit,6330,1.36,6457,[56]
Kepler-494b,,0.637,8.02511821,,,transit,2810,1.1,6007,[56]
Kepler-495b,,0.467,3.41303622,,,transit,2100,0.86,5346,[56]
Kepler-496b,,0.207,8.30864937,,,transit,2140,0.86,5293,[56]
Kepler-497b,,0.539,3.57320367,,,transit,3500,1.09,5834,[56]
Kepler-498b,,0.27,9.61375356,,,transit,2430,0.98,5744,[56]
Kepler-499b,,0.194,5.63252845,,,transit,1710,0.87,5312,[56]
Kepler-500b,,0.23,8.5083244,,,transit,2440,1.02,5813,[56]
Kepler-501b,,0.384,5.64067757,,,transit,3410,1.03,5904,[56]
Kepler-502b,,0.426,4.28686431,,,transit,4670,1.15,6125,[56]
Kepler-504b,,0.142,9.54927542,,,transit,240,0.33,3519,[56]
Kepler-505b,,0.232,27.52197994,,,transit,720,0.55,3931,[56]
Kepler-506b,,0.244,6.8834055,,,transit,750,1.19,6236,[56]
Kepler-507b,,0.116,3.56809693,,,transit,1300,1.16,6113,[56]
Kepler-508b,,0.146,25.30889748,,,transit,1060,1.16,6025,[56]
Kepler-509b,,0.222,41.74600392,,,transit,1110,1.1,6060,[56]
Kepler-510b,,0.22,19.55659418,,,transit,1230,0.91,5746,[56]
Kepler-511b,,0.567,296.637865,,,transit,1460,1,5770,[56]
Kepler-512b,,0.24,34.43587975,,,transit,1730,1.17,5997,[56]
Kepler-513b,,0.196,28.86235584,,,transit,1520,1.02,5849,[56]
Kepler-514b,,0.153,5.65179605,,,transit,1590,1.28,6106,[56]
Kepler-515b,,0.13,19.96371318,,,transit,830,0.9,5293,[56]
Kepler-516b,,0.512,24.85462415,,,transit,2530,1.62,7099,[56]
Kepler-517b,,0.238,60.92832271,,,transit,930,0.95,5690,[56]
Kepler-518b,,0.188,8.51203588,,,transit,1060,0.96,5842,[56]
Kepler-519b,,0.187,24.3078946,,,transit,760,0.89,5260,[56]
Kepler-520b,,0.148,19.67416124,,,transit,1600,1.1,6112,[56]
Kepler-520c,,0.095,5.21104261,,,transit,1600,1.1,6112,[56]
Kepler-521b,,0.284,22.20813214,,,transit,2400,1.34,6406,[56]
Kepler-522b,,0.616,38.58422849,,,transit,2440,1.54,6392,[56]
Kepler-523b,,0.175,5.83598311,,,transit,880,0.93,5515,[56]
Kepler-524b,,0.17,7.97419807,,,transit,2400,1.09,6014,[56]
Kepler-524c,,0.086,1.88897906,,,transit,2400,1.09,6014,[56]
Kepler-525b,,0.235,18.68404933,,,transit,1850,0.95,5573,[56]
Kepler-526b,,0.178,5.45849832,,,transit,1640,1.15,5894,[56]
Kepler-527b,,0.253,13.28535633,,,transit,2940,1.28,6388,[56]
Kepler-528b,,0.186,19.78297415,,,transit,2320,1.01,5807,[56]
Kepler-529b,,0.166,1.98035766,,,transit,2570,1.07,6087,[56]
Kepler-529c,,0.178,12.8345022,,,transit,2570,1.07,6087,[56]
Kepler-530b,,0.269,39.30941904,,,transit,1510,0.97,5697,[56]
Kepler-531b,,0.248,29.88485741,,,transit,830,0.78,4893,[56]
Kepler-532b,,0.229,12.92491623,,,transit,1060,0.87,5192,[56]
Kepler-533b,,0.302,28.51120525,,,transit,990,0.78,4758,[56]
Kepler-534b,,0.2,15.95994513,,,transit,1540,1.05,5884,[56]
Kepler-535b,,0.211,4.90332155,,,transit,2210,1.18,6123,[56]
Kepler-536b,,0.277,1.8270823,,,transit,1450,0.92,5524,[56]
Kepler-537b,,0.126,3.24755522,,,transit,1520,1.07,5763,[56]
Kepler-538b,,0.202,81.73780699,,,transit,540,0.96,5650,[56]
Kepler-539b,0.97,0.747,125.63243,0.4988,,transit,1020,1.05,5820,[56]
