Name,Mass (MJ),Radius (RJ),Period (days),Semi-major axis (AU),Temp. (K)[1],Discovery method,Distance (ly),Host star mass (M☉),Host star temp. (K),Remarks
Kepler-1392b,,0.175,15.1410397,,,transit,3640,0.88,5479,[56]
Kepler-1393b,,0.071,2.44357812,,,transit,1510,0.95,5697,[56]
Kepler-1394b,,0.124,3.93766373,,,transit,2700,1.64,6481,[56]
Kepler-1395b,,0.071,3.78470649,,,transit,1650,1.17,6138,[56]
Kepler-1396b,,0.185,18.2206421,,,transit,4030,1.18,6195,[56]
Kepler-1397b,,0.153,47.449955,,,transit,2500,1.09,6026,[56]
Kepler-1398b,,0.08,2.78815679,,,transit,2590,1.13,6126,[56]
Kepler-1398c,,0.092,4.13827595,,,transit,2590,1.13,6126,[56]
Kepler-1399b,,0.112,1.63865306,,,transit,4100,0.97,5735,[56]
Kepler-1400b,,0.145,9.06689421,,,transit,2870,0.83,5044,[56]
Kepler-1401b,,0.15,11.20066445,,,transit,4050,1.07,5964,[56]
Kepler-1402b,,0.068,2.03387914,,,transit,2220,0.9,5416,[56]
Kepler-1403b,,0.191,5.19492202,,,transit,5870,1.11,6060,[56]
Kepler-1404b,,0.179,15.9314739,,,transit,3090,0.84,5261,[56]
Kepler-1405b,,0.353,28.2274184,,,transit,5230,1.05,5925,[56]
Kepler-1406b,,0.098,11.62905828,,,transit,1910,1.05,5892,[56]
Kepler-1407b,,0.201,20.0711504,,,transit,4160,1.1,6010,[56]
Kepler-1408b,,0.079,2.99793191,,,transit,1390,1.21,6170,[56]
Kepler-1409b,,0.093,0.76486493,,,transit,2350,0.83,5160,[56]
Kepler-1410b,,0.159,60.866168,,,transit,1200,0.63,4092,[56]Potentially habitable exoplanet[59]
Kepler-1411b,,0.252,86.1150888,,,transit,4670,0.95,5664,[56]
Kepler-1412b,,0.074,3.6146051,,,transit,2080,1.06,5880,[56]
Kepler-1413b,,0.162,13.1829642,,,transit,3790,0.84,5196,[56]
Kepler-1414b,,0.11,3.51576315,,,transit,1740,0.8,4951,[56]
Kepler-1415b,,0.115,0.63642408,,,transit,3480,0.89,5267,[56]
Kepler-1416b,,0.079,1.49514952,,,transit,2630,1.09,6019,[56]
Kepler-1417b,,0.089,20.3505213,,,transit,2140,1.02,5839,[56]
Kepler-1418b,,0.148,22.4764425,,,transit,1630,0.77,4770,[56]
Kepler-1419b,,0.255,42.5215895,,,transit,4710,1.01,5796,[56]
Kepler-1420b,,0.114,6.69960006,,,transit,3010,0.82,5187,[56]
Kepler-1421b,,0.083,6.9131112,,,transit,2200,1.25,6335,[56]
Kepler-1422b,,0.18,18.6051942,,,transit,6790,1.15,6194,[56]
Kepler-1423b,,0.095,23.955378,,,transit,1460,0.79,4939,[56]
Kepler-1424b,,0.103,29.6091744,,,transit,2000,1.02,5838,[56]
Kepler-1425b,,0.084,14.4541302,,,transit,1630,0.97,5718,[56]
Kepler-1426b,,0.139,14.2563227,,,transit,3950,1.02,5831,[56]
Kepler-1427b,,0.098,0.96897238,,,transit,4000,1.01,5793,[56]
Kepler-1428b,,0.146,10.67607169,,,transit,2620,1.28,6184,[56]
Kepler-1429b,,0.115,4.48487493,,,transit,3770,1.05,5902,[56]
Kepler-1430b,,0.105,2.46050993,,,transit,1760,0.77,4796,[56]
Kepler-1431b,,0.131,5.86601526,,,transit,4100,1.03,5806,[56]
Kepler-1432b,,0.198,23.9109011,,,transit,5060,1.09,6031,[56]
Kepler-1433b,,0.139,4.13592271,,,transit,4330,1.14,6097,[56]
Kepler-1434b,,0.099,8.05333618,,,transit,2200,1.47,6291,[56]
Kepler-1435b,,0.077,4.45343281,,,transit,2220,1.21,6356,[56]
Kepler-1436b,,0.117,9.705716,,,transit,3720,1.06,5972,[56]
Kepler-1437b,,0.122,10.9295461,,,transit,3860,0.93,5557,[56]
Kepler-1438b,,0.084,2.31942009,,,transit,2820,0.97,5530,[56]
Kepler-1439b,,0.13,8.07392849,,,transit,700,0.46,3578,[56]
Kepler-1440b,,0.112,39.859484,,,transit,2230,0.98,5698,[56]
Kepler-1441b,,0.117,39.4419839,,,transit,2450,1,5802,[56]
Kepler-1442b,,0.351,81.4162941,,,transit,1710,1.34,6394,[56]
Kepler-1443b,,0.087,2.41811321,,,transit,1550,1.19,6289,[56]
Kepler-1444b,,0.194,33.42035034,,,transit,1100,1.03,5810,[56]
Kepler-1445b,,0.086,10.60052251,,,transit,1570,1.13,6150,[56]
Kepler-1446b,,0.073,0.68996783,,,transit,530,0.81,4865,[56]
Kepler-1447b,,0.259,56.6747285,,,transit,2840,0.97,5722,[56]
Kepler-1448b,,0.144,12.27065865,,,transit,2560,0.95,5774,[56]
Kepler-1449b,,0.15,13.2274528,,,transit,4310,1.08,5979,[56]
Kepler-1450b,,0.153,54.5094166,,,transit,1600,0.71,4524,[56]
Kepler-1451b,,0.299,35.622233,,,transit,3780,1,5782,[56]
Kepler-1452b,,0.241,42.913751,,,transit,3180,1.41,6101,[56]
Kepler-1453b,,0.238,47.1611696,,,transit,4190,0.97,5665,[56]
Kepler-1454b,,0.168,47.0319479,,,transit,2590,0.9,5448,[56]
Kepler-1455b,,0.193,49.276764,,,transit,1280,0.62,4075,[56]Potentially habitable exoplanet[57]
Kepler-1456b,,0.102,18.1373829,,,transit,1240,0.64,4231,[56]
Kepler-1457b,,0.178,51.1110243,,,transit,2370,1.01,5866,[56]
Kepler-1458b,,0.246,47.9872764,,,transit,2090,0.96,5653,[56]
Kepler-1459b,,0.121,62.8691611,,,transit,1420,0.78,4828,[56]
Kepler-1460b,,0.175,29.9633247,,,transit,1870,0.7,4422,[56]
Kepler-1461b,,0.181,29.3494775,,,transit,2450,0.79,4919,[56]
Kepler-1462b,,0.341,65.6488341,,,transit,4460,1,5756,[56]
Kepler-1463b,,0.166,25.15864,,,transit,4370,0.96,5679,[56]
Kepler-1464b,,0.148,31.7785901,,,transit,2260,1.02,5828,[56]
Kepler-1464c,,0.089,5.32786292,,,transit,2260,1.02,5828,[56]
Kepler-1465b,,0.158,31.8277111,,,transit,1100,0.75,4726,[56]
Kepler-1466b,,0.138,31.1750448,,,transit,2240,1.01,5884,[56]
Kepler-1467b,,0.294,47.0569043,,,transit,2900,0.86,5332,[56]
Kepler-1468b,,0.154,8.23984869,,,transit,3700,1.04,5893,[56]
Kepler-1468c,,0.103,3.54553021,,,transit,3700,1.04,5893,[56]
Kepler-1469b,,0.25,21.8635301,,,transit,4090,0.92,5507,[56]
Kepler-1470b,,0.095,16.2950903,,,transit,1860,0.8,4961,[56]
Kepler-1471b,,0.126,3.63899398,,,transit,3450,0.95,5660,
Kepler-1472b,,0.17,38.1312831,,,transit,4140,1.16,6159,
Kepler-1473b,,0.106,14.4273551,,,transit,2040,1.09,6046,
Kepler-1474b,,0.193,36.4333452,,,transit,3960,1.04,5870,
Kepler-1475b,,0.261,82.177374,,,transit,5590,1.18,6214,
Kepler-1476b,,0.149,10.35863224,,,transit,3970,0.98,5663,
Kepler-1477b,,0.105,11.55530021,,,transit,1710,0.81,5100,
Kepler-1478b,,0.154,26.0840594,,,transit,4580,1.04,5904,
Kepler-1479b,,0.163,14.53261362,,,transit,2020,0.99,5796,
Kepler-1480b,,0.149,22.12679948,,,transit,1800,0.85,5156,
Kepler-1481b,,0.11,5.94220998,,,transit,1610,0.8,4908,
Kepler-1482b,,0.09,12.25383217,,,transit,1440,0.88,5381,
Kepler-1483b,,0.136,9.5085156,,,transit,4330,1.25,6337,
Kepler-1484b,,0.188,30.4549136,,,transit,3570,0.94,5730,
Kepler-1485b,,0.131,19.9157725,,,transit,1800,1.11,6087,
Kepler-1486b,,0.207,54.6495759,,,transit,4780,1.08,5965,
Kepler-1487b,,0.19,7.31946363,,,transit,3570,1.38,6541,
Kepler-1488b,,0.166,39.8189932,,,transit,2020,1.05,5820,
Kepler-1489b,,0.158,82.294751,,,transit,2800,0.93,5655,
Kepler-1490b,,0.271,92.4362973,,,transit,3160,0.9,5515,
Kepler-1491b,,0.135,16.5861762,,,transit,4280,1,5728,
Kepler-1492b,,0.133,16.75255007,,,transit,1210,0.77,4712,
Kepler-1493b,,0.126,15.0217983,,,transit,1870,1.06,5863,
Kepler-1494b,,0.274,91.080482,,,transit,3450,0.96,5659,
Kepler-1495b,,0.262,85.273256,,,transit,4260,1.03,5831,
Kepler-1496b,,0.198,64.6588017,,,transit,4220,1.18,6182,
Kepler-1497b,,0.148,8.74199772,,,transit,3660,0.96,5675,
Kepler-1498b,,0.119,48.051405,,,transit,2400,0.86,5256,
Kepler-1499b,,0.106,44.2008,,,transit,1000,0.82,5097,
Kepler-1500b,,0.107,15.0330105,,,transit,2950,1,5845,
Kepler-1501b,,0.139,14.5564533,,,transit,2900,1.2,6229,
Kepler-1502b,,0.284,41.7083629,,,transit,5000,1.44,6666,
Kepler-1503b,,0.203,96.16987,,,transit,2800,0.77,5069,
Kepler-1504b,,0.19,82.304003,,,transit,3360,0.85,5393,
Kepler-1505b,,0.083,30.8609366,,,transit,1170,0.93,5686,
Kepler-1506b,,0.118,14.0329154,,,transit,4300,0.95,5676,
Kepler-1507b,,0.075,16.0506213,,,transit,1120,0.89,5410,
Kepler-1508b,,0.119,20.7056504,,,transit,2910,1.14,6158,
Kepler-1509b,,0.165,25.4338197,,,transit,4170,1,5780,
Kepler-1510b,,0.3,84.703921,,,transit,5270,1.19,6200,
Kepler-1511b,,0.15,23.2382792,,,transit,2930,1.17,6064,
Kepler-1512b,,0.105,20.35972599,,,transit,530,0.73,4372,
Kepler-1513b,,0.755,160.8846509,,,transit,1250,0.99,5617,
Kepler-1514b,,1.055,217.8317626,,,transit,1240,1.21,6251,
Kepler-1515b,,0.852,214.3114164,,,transit,1640,1.3,6511,
Kepler-1516b,,0.156,7.25931979,,,transit,2840,1.04,5904,
Kepler-1517b,,0.871,5.54608367,,,transit,2830,1.58,7010,
Kepler-1518b,,0.272,5.11177904,,,transit,3700,1.54,6846,
Kepler-1519b,,0.63,240.7989397,,,transit,2800,0.94,5644,
Kepler-1520b,,0.515,0.65355357,,,transit,2070,0.76,4677,
Kepler-1521b,,0.223,47.14840805,,,transit,740,0.81,5042,
Kepler-1522b,,0.154,1.84788917,,,transit,2300,0.96,5706,
Kepler-1523b,,0.141,0.93875077,,,transit,2990,0.97,5708,
Kepler-1524b,,0.316,70.9674603,,,transit,1650,1.17,6179,
Kepler-1525b,,0.081,2.41660118,,,transit,1290,1.07,5748,
Kepler-1526b,,0.217,3.908632,,,transit,1880,0.73,4601,
Kepler-1527b,,0.426,160.129918,,,transit,5100,1.21,6224,
Kepler-1528b,,0.13,1.79111021,,,transit,2990,1.03,5857,
Kepler-1529b,,0.187,5.33905686,,,transit,2230,0.81,5048,
Kepler-1530b,,0.146,2.5904434,,,transit,1800,0.92,5477,
Kepler-1530c,,0.147,5.3227406,,,transit,1800,0.92,5477,
Kepler-1531b,,0.099,1.13854338,,,transit,2200,1.16,6260,
Kepler-1532b,,0.12,1.09366356,,,transit,2690,0.91,5559,
Kepler-1533b,,0.309,308.5471,,,transit,2780,1.31,6431,
Kepler-1534b,,0.169,5.71668872,,,transit,3610,0.9,5442,
Kepler-1535b,,0.227,138.9442,,,transit,2870,1.08,6021,
Kepler-1536b,,0.28,364.758031,,,transit,1310,0.71,4434,
Kepler-1537b,,0.105,1.4444538,,,transit,1640,0.81,5079,
Kepler-1538b,,0.252,175.138819,,,transit,4210,1.03,5837,
Kepler-1539b,,0.241,133.3036741,,,transit,2570,0.84,5176,
Kepler-1540b,,0.222,125.4131177,,,transit,850,0.74,4540,Potentially habitable exoplanet
Kepler-1541b,,0.103,8.40691199,,,transit,1350,0.86,5282,
Kepler-1542b,,0.068,3.95116882,,,transit,1100,0.94,5564,
Kepler-1542c,,0.058,2.89223021,,,transit,1100,0.94,5564,
Kepler-1542d,,0.078,5.99273738,,,transit,1100,0.94,5564,
Kepler-1542e,,0.068,5.10115756,,,transit,1100,0.94,5564,
Kepler-1543b,,0.242,6.96710269,,,transit,3630,1.39,6561,
Kepler-1544b,,0.159,168.811174,,,transit,1140,0.81,4886,Potentially habitable exoplanet
Kepler-1545b,,0.241,163.692349,,,transit,2240,0.84,5201,
Kepler-1546b,,0.279,19.5974971,,,transit,3240,0.95,5623,
Kepler-1547b,,0.08,0.69297968,,,transit,2170,1.12,6078,
Kepler-1548b,,0.236,124.828679,,,transit,3800,0.99,5706,
Kepler-1549b,,0.229,214.886545,,,transit,2580,0.88,5324,
Kepler-1550b,,0.269,225.582809,,,transit,3920,1.07,5991,
Kepler-1551b,,0.237,24.4973698,,,transit,5100,1.14,6136,
Kepler-1552b,,0.22,184.771853,,,transit,2020,0.85,5202,
Kepler-1553b,,0.103,4.24261881,,,transit,2350,0.85,5288,
Kepler-1554b,,0.259,198.088774,,,transit,3200,0.84,5297,
Kepler-1555b,,0.144,8.10501635,,,transit,4510,1.04,5866,
Kepler-1556b,,0.175,8.82713457,,,transit,3500,0.97,5608,
Kepler-1557b,,0.136,3.74032496,,,transit,5000,1.11,6099,
Kepler-1558b,,0.061,3.50470358,,,transit,1120,0.83,5101,
Kepler-1559b,,0.064,0.97191543,,,transit,1900,0.86,5316,
Kepler-1560b,,0.079,3.03195744,,,transit,1730,1.02,5815,
Kepler-1561b,,0.097,1.00520701,,,transit,3240,1.07,5957,
Kepler-1562b,,0.317,64.2737752,,,transit,4290,1.02,5760,
Kepler-1563b,,0.067,3.43276598,,,transit,1780,1,5765,
Kepler-1564b,,0.131,18.0540381,,,transit,2840,0.93,5528,
Kepler-1565b,,0.106,1.53818844,,,transit,2140,0.76,4940,
Kepler-1566b,,0.07,0.53991524,,,transit,1670,0.84,5254,
Kepler-1567b,,0.244,153.979578,,,transit,4000,0.95,5655,
Kepler-1568b,,0.116,20.925392,,,transit,2880,1.09,5956,
Kepler-1569b,,0.15,5.79180156,,,transit,3400,1.25,6319,
Kepler-1570b,,0.095,26.548955,,,transit,1510,0.92,5550,
Kepler-1571b,,0.136,3.38555488,,,transit,2620,1.23,6297,
Kepler-1572b,,0.084,5.49548621,,,transit,2000,0.97,5618,
Kepler-1573b,,0.107,2.6157554,,,transit,3800,1.01,5808,
Kepler-1574b,,0.115,6.9424334,,,transit,4160,1.06,5892,
Kepler-1575b,,0.117,2.55314213,,,transit,3800,0.95,5667,
Kepler-1576b,,0.093,6.98471973,,,transit,1760,1.05,5876,
Kepler-1577b,,0.101,6.30560247,,,transit,1770,0.78,4862,
Kepler-1578b,,0.093,1.45088691,,,transit,3310,0.9,5545,
Kepler-1579b,,0.075,0.84990789,,,transit,1520,0.75,4584,
Kepler-1580b,,0.188,56.6449279,,,transit,2840,1.47,6228,
Kepler-1581b,,0.071,6.28385491,,,transit,1440,1.12,6022,
Kepler-1582b,,0.133,4.83817712,,,transit,370,0.28,3208,
Kepler-1583b,,0.054,9.32807355,,,transit,1160,0.94,5645,
Kepler-1584b,,0.144,13.3997099,,,transit,4320,1.1,6069,
Kepler-1585b,,0.16,3.5827463,,,transit,4140,0.94,5538,
Kepler-1586b,,0.136,15.6049212,,,transit,2820,1.45,6681,
Kepler-1587b,,0.119,9.4060467,,,transit,2960,1.08,5933,
Kepler-1588b,,0.068,7.84931739,,,transit,2150,0.96,5817,
Kepler-1589b,,0.097,0.99166527,,,transit,4620,1.18,6166,
Kepler-1590b,,0.102,7.61760804,,,transit,2900,1.11,6053,
Kepler-1591b,,0.113,8.18504949,,,transit,3600,1.1,6082,
Kepler-1592b,,0.137,3.05710069,,,transit,4400,1.18,6213,
Kepler-1593b,,0.283,174.509835,,,transit,2460,0.81,4995,Potentially habitable exoplanet
Kepler-1594b,,0.095,2.71603809,,,transit,3600,1.06,5946,
Kepler-1595b,,0.11,4.56380468,,,transit,2740,0.84,5203,
Kepler-1596b,,0.17,66.373379,,,transit,3800,0.95,5706,
Kepler-1597b,,0.095,2.94654179,,,transit,4090,1.25,6377,
Kepler-1598b,,0.085,4.34195123,,,transit,2390,1.07,5940,
Kepler-1599b,,0.145,122.363553,,,transit,3270,0.99,5767,
Kepler-1600b,,0.279,386.370548,,,transit,3240,0.86,5214,
Kepler-1601b,,0.073,2.20921951,,,transit,2200,1.04,5869,
Kepler-1602b,,0.12,11.17931605,,,transit,2660,1.22,6296,
Kepler-1603b,,0.115,2.27163926,,,transit,5710,1.21,6241,
Kepler-1604b,,0.126,0.68368426,,,transit,1830,0.81,4976,
Kepler-1605b,,0.096,85.7565495,,,transit,730,0.86,5280,
Kepler-1606b,,0.185,196.435224,,,transit,2900,0.9,5422,Potentially habitable exoplanet
Kepler-1607b,,0.082,13.6473676,,,transit,2400,1.14,6116,
Kepler-1608b,,0.154,16.4735686,,,transit,2710,0.75,4992,
Kepler-1609b,,0.198,114.34219,,,transit,4840,1.18,6132,
Kepler-1610b,,0.144,8.70181574,,,transit,3470,0.91,5383,
Kepler-1611b,,0.072,5.1762429,,,transit,2240,0.94,5605,
Kepler-1612b,,0.092,3.91795101,,,transit,2730,0.96,5643,
Kepler-1613b,,0.186,1.5184299,,,transit,2790,1.08,6005,
Kepler-1614b,,0.133,3.9466141,,,transit,3200,0.79,5121,
Kepler-1615b,,0.184,47.3126192,,,transit,3100,1.04,5865,
Kepler-1616b,,0.091,6.76284377,,,transit,2810,1.21,6266,
Kepler-1617b,,0.107,27.4785572,,,transit,2650,1.15,6167,
Kepler-1618b,,0.112,6.10826019,,,transit,4040,1.41,6620,
Kepler-1619b,,0.068,23.6225913,,,transit,1700,1,5852,
Kepler-1620b,,0.144,101.951829,,,transit,2520,1.15,6157,
Kepler-1621b,,0.193,92.263714,,,transit,4770,1.15,6158,
Kepler-1622b,,0.131,10.8118737,,,transit,3020,1.31,6436,
Kepler-1623b,,0.117,4.36128348,,,transit,3220,1,5772,
Kepler-1624b,,0.509,3.29030452,,,transit,650,0.5,3636,
Kepler-1625b,,0.541,287.378949,,,transit,3960,0.96,5677,
Kepler-1626b,,0.18,4.13962966,,,transit,5600,1.51,6826,
Kepler-1627b,,0.329,7.20283653,,,transit,1010,0.87,5445,Young (38 million years) host star[60]
Kepler-1628b,,0.574,76.378033,,,transit,1150,0.55,3724,
Kepler-1629b,,0.069,3.87595807,,,transit,1300,1.01,5776,
Kepler-1630b,,0.195,509.997402,,,transit,910,0.66,4736,
Kepler-1631b,,0.12,4.09513932,,,transit,3900,0.97,5679,
Kepler-1632b,,0.22,448.303558,,,transit,1900,1.12,6137,
Kepler-1633b,,0.141,186.404271,,,transit,2650,1.2,6256,
Kepler-1634b,,0.285,374.876239,,,transit,2130,0.92,5474,
Kepler-1635b,,0.325,469.63111,,,transit,3540,0.89,5347,
Kepler-1636b,,0.288,425.47785,,,transit,5110,1.01,5797,
Kepler-1637b,,0.079,6.10960324,,,transit,1650,1.02,5789,
Kepler-1638b,,0.167,259.33683,,,transit,2870,0.97,5710,Potentially habitable exoplanet
Kepler-1639b,,0.23,9.878482,,,transit,3810,1.12,6150,
Kepler-1640b,,0.43,7.5844126,,,transit,4500,1.27,6324,
Kepler-1641b,,0.277,19.672266,,,transit,3130,1.12,6152,
Kepler-1641c,,0.263,32.657212,,,transit,3130,1.12,6152,
Kepler-1642b,,0.285,12.2057513,,,transit,1460,0.88,5355,
Kepler-1642c,,0.237,6.6513802,,,transit,1460,0.88,5355,
Kepler-1643b,,0.205,5.34264507,,,transit,1350,0.92,5508,
Kepler-1644b,,0.168,21.0907758,,,transit,1930,0.89,5499,
Kepler-1645b,,0.159,16.1779561,,,transit,2750,1.02,5812,
Kepler-1646b,,0.11,4.48558383,,,transit,260,0.24,3299,
Kepler-1647b,1.51968,1.059,1107.5923,2.7205,,transit,,1.22,6210,
KOI-847 c,,0.5,1106.243,2.08,,transit,3461,0.98,5692,Unconfirmed. Also known as Kepler-700c.
OGLE-2007-BLG-349(AB)c,0.25171,,2557,2.59,,microlensing,9000,0.41,,[61]
OGLE-2012-BLG-0724Lb,0.47,,,1.6,,microlensing,22000,0.29,,[62]
OGLE-2014-BLG-0676Lb,3.09,,,4.4,,microlensing,7200,0.62,,[63]
OGLE-2015-BLG-0051Lb [id],0.72,,,0.73,,microlensing,27000,0.1,,[64]
OGLE-2015-BLG-0954Lb,3.9,,,1.2,,microlensing,2000,0.33,,[65]
OGLE-2012-BLG-0950Lb,0.11012,,,2.7,,microlensing,9800,0.56,,[66]
OGLE-2014-BLG-1760Lb [id],0.56,,,1.75,,microlensing,22400,0.51,,[67]
Pr0211 c,7.79,,4850,5.5,,radial vel.,,0.94,5300,Host star belongs to Beehive Cluster[68]
Proxima Centauri b,0.004,,11.186,0.0485,,radial vel.,4.2,0.12,3050,"Nearest exoplanet to the Solar System, and is potentially habitable[69]"
Rho Coronae Borealis c,0.07866,,102.54,0.4123,448,radial vel.,56.2,0.89,5627,[22]
TRAPPIST-1b,0.00267,0.097,1.51087081,0.01111,400,transit,39,0.08,2559,[70]
TRAPPIST-1c,0.00434,0.094,2.4218233,0.01521,342,transit,39,0.08,2559,[70]
TRAPPIST-1d,0.00129,0.069,4.04961,0.02144,288,transit,39,0.08,2559,Potentially habitable exoplanet[70]
TYC 3667-1280-1 b,5.4,,26.468,0.21,1350,radial vel.,1570,1.87,5130,Red giant star host[71]
V830 Tauri b,0.7,,4.927,0.057,,radial vel.,490,1,4250,[72]
WASP-92b,0.805,1.461,2.1746742,0.0348,1871,transit,1700,1.19,6280,[73]
WASP-93b,1.47,1.597,2.7325321,0.04211,,transit,820,1.33,6700,[73]
WASP-113b,0.475,1.409,4.54216875,0.05885,1496,transit,1200,1.32,5890,[74]
WASP-114b,1.769,1.339,1.5487743,0.02851,2043,transit,1500,1.29,5940,[74]
WASP-118b,0.514,1.44,4.0460435,0.05453,,transit,820,1.32,6410,[73]
WASP-119b,1.23,1.4,2.49979,0.0363,1600,transit,1090,1.02,5650,[75]
WASP-124b,0.6,1.24,3.37265,0.0449,1400,transit,1410,1.07,6050,[75]
WASP-126b,0.28,0.96,3.2888,0.0449,1480,transit,760,1.12,5800,[75]
WASP-127b,0.18,1.37,4.178062,0.052,,transit,330,1.08,5620,[76][77][78]
WASP-129b,1,0.93,5.748145,0.0628,1100,transit,800,1,5900,[75]
WASP-130b,1.23,0.89,11.55098,0.1012,833,transit,590,1.04,5625,[79]
WASP-131b,0.27,1.22,5.322023,0.0607,1400,transit,820,1.06,6030,[79]
WASP-132b,0.41,0.87,7.133521,0.067,763,transit,390,0.8,4775,[79]
WASP-133b,1.16,1.21,2.176423,0.0345,1790,transit,1780,1.16,5700,[75]
WASP-136b,1.51,1.38,5.215357,0.0661,,transit,530,1.41,6260,[78]
WASP-138b,1.22,1.09,3.634433,0.0494,,transit,1000,1.22,6272,[78]
WASP-139b,0.117,0.8,5.924262,0.062,910,transit,750,0.92,5310,[79]
WASP-140b,2.44,1.44,2.2359835,0.0323,1320,transit,590,0.9,5260,[79]
WASP-141b,2.69,1.21,3.310651,0.0469,1540,transit,1900,1.25,5900,[79]
WASP-142b,0.84,1.53,2.052868,0.0347,2000,transit,2700,1.33,6010,[79]
WASP-157b,0.574,1.065,3.9516205,0.0529,1339,transit,,1.26,5838,[80]
XO-6b,4.4,2.07,3.7650007,0.0815,1577,transit,759,1.47,6720,[81]
YBP 401 b,0.46,,4.087,,,radial vel.,,1.14,6165,Belongs to Messier 67[82]